GT pixels, algorithm, FP, FN, TP, num_particles
11696, 10724, 0, 972, 10724, 1
5569, 4767, 0, 802, 4767, 4
3836, 3396, 0, 440, 3396, 2
5740, 5168, 0, 572, 5168, 1
5335, 4429, 0, 906, 4429, 2
5106, 4314, 0, 792, 4314, 1
5401, 4696, 0, 705, 4696, 1
4694, 4190, 1, 505, 4189, 1
2296, 1606.0000, 0, 690, 1606, 2
6155, 118, 0, 6037, 118, 2
1420, 1129, 0, 291, 1129, 1
1495, 1243, 0, 252, 1243, 1
4727, 4063, 0, 664, 4063, 2
5773, 4683, 0, 1090, 4683, 1
4489, 3997, 15, 507, 3982, 3
6298, 5088, 0, 1210, 5088, 3
5919, 4952, 0, 967, 4952, 3
4556, 4162, 0, 394, 4162, 1
9979, 8986, 0, 993, 8986, 4
758, 679, 3.0000, 82, 676, 1
5626, 5003, 2, 625, 5001, 1
9875, 8513, 0, 1362, 8513, 5
8096, 31.0000, 0, 8065, 31, 6
2400, 1999, 0, 401, 1999, 1
2806, 2217, 0, 589, 2217, 3
3309, 2984.0000, 3.0000, 328, 2981, 1
6839, 6157, 3.0000, 685, 6154, 2
1395, 1170, 0, 225, 1170, 1
4883, 4236, 8, 655, 4228, 4
8938, 8041.0000, 0, 897.0000, 8041.0000, 3
15614, 12836.0000, 6.0000, 2784, 12830, 9
3596, 2879, 0, 717, 2879, 2
3829, 3134.0000, 0, 695, 3134, 3
4743, 4043.0000, 2, 702, 4041, 2
5865, 5103, 3.0000, 765, 5100, 3
4705, 3556, 0, 1149, 3556, 6
11929, 10060, 1, 1870, 10059, 5
6549, 5684, 4, 869, 5680, 1
9574, 6328, 0, 3246, 6328, 19
4135, 3703, 0, 432, 3703, 1
8449, 7570, 2, 881, 7568, 2
2680, 2433, 14, 261, 2419, 1
4565, 4081, 4, 488, 4077, 2
18589, 16342.0000, 0, 2247, 16342, 4
4363, 3704, 0, 659, 3704, 2
4988, 4182, 1, 807, 4181, 3
9022, 7478.0000, 0, 1544, 7478, 5
6918, 6202, 0, 716, 6202, 2
5367, 4673, 0, 694, 4673, 4
5049, 4375, 0, 674, 4375, 1
3326, 2920.0000, 1, 407, 2919, 1
7204, 5456, 0, 1748, 5456, 12
7001, 5872, 0, 1129, 5872, 2
2277, 1818, 0, 459, 1818, 2
2596, 2038, 0, 558, 2038, 1
7040, 5319, 0, 1721, 5319, 4
8803, 158, 0, 8645, 158, 2
5354, 4596, 0, 758, 4596, 1
27562, 24148.0000, 1, 3415, 24147, 8
6994, 6002.0000, 4, 996, 5998, 2
6119, 5486, 1, 634, 5485, 1
675, 520, 1, 156, 519, 3
5327, 5101, 18, 244, 5083, 1
647, 446, 0, 201, 446, 1
6081, 5387, 0, 694, 5387, 1
3652, 3107, 0, 545, 3107, 1
1793, 1492.0000, 0, 301, 1492, 1
6266, 4330, 0, 1936, 4330, 9
3398, 2937, 0, 461, 2937, 1
5352, 4204, 0, 1148, 4204, 2
8819, 7687, 0, 1132, 7687, 3
10696, 8221, 2, 2477, 8219, 7
4904, 4431, 0, 473, 4431, 2
3735, 3235, 0, 500, 3235, 1
1875, 1709, 35, 201, 1674, 1
4965, 4334, 2, 633, 4332, 2
6627, 5506, 0, 1121, 5506, 4
939, 868, 21, 92, 847, 1
9430, 7338.0000, 0, 2092, 7338, 8
5369, 4544, 0, 825, 4544, 5
6700, 5621, 0, 1079, 5621, 4
4604, 3921, 0, 683, 3921, 1
9867, 8843, 0, 1024, 8843, 5
6175, 5385, 9, 799, 5376, 2
6914, 6058, 0, 856, 6058, 4
5564, 5007, 1, 558, 5006, 1
12347, 10547, 0, 1800, 10547, 6
6391, 5678, 13, 726, 5665, 2
3726, 3181, 0, 545, 3181, 1
8366, 7597, 2, 771, 7595, 1
5868, 5188, 2, 682, 5186, 4
3440, 3078, 0, 362, 3078, 1
5612, 4776, 0, 836, 4776, 3
4069, 3779, 0, 290, 3779, 1
20429, 18048, 3.0000, 2384, 18045, 3
8911, 7838, 1, 1074, 7837, 3
4474, 4139, 1, 336, 4138, 1
7465, 6530, 4, 939, 6526, 4
7395, 6492, 5, 908, 6487, 5
3923, 3445.0000, 0, 478, 3445, 1
4290, 3817.0000, 0, 473, 3817, 1
7891, 7108, 0, 783, 7108, 1
867, 704, 0, 163, 704, 1
3417, 2860, 0, 557, 2860, 1
8026, 6769, 0, 1257, 6769, 5
5118, 4391, 0, 727, 4391, 2
