GT pixels, algorithm, FP, FN, TP, num_particles
11696, 10973, 0, 723, 10973, 1
5569, 4926, 0, 643, 4926, 4
3836, 3492, 0, 344, 3492, 1
5740, 5284, 0, 456, 5284, 1
5335, 4702, 0, 633, 4702, 1
5106, 4482, 0, 624, 4482, 1
5401, 4878, 0, 523, 4878, 1
4694, 4293, 2, 403, 4291, 1
2296, 1688.0000, 0, 608.0000, 1688.0000, 1
6155, 108, 0, 6047, 108, 2
1420, 1158, 0, 262, 1158, 1
1495, 1276, 0, 219, 1276, 1
4727, 4167, 1, 561, 4166, 1
5773, 4959, 2, 816, 4957, 2
4489, 4131, 33, 391, 4098, 1
6298, 5294, 0, 1004, 5294, 4
5919, 5172, 0, 747, 5172, 3
4556, 4229, 0, 327, 4229, 1
9979, 9293, 0, 686, 9293, 3
758, 708, 7, 57, 701, 1
5626, 5127, 6.0000, 505, 5121, 1
9875, 9029, 0, 846, 9029, 1
8096, 7005, 1, 1092, 7004, 1
2400, 2111, 0, 289, 2111, 1
2806, 2404, 1, 403, 2403, 1
3309, 3049, 7, 267, 3042, 1
6839, 6301, 5, 543, 6296, 1
1395, 1227, 2, 170, 1225, 1
4883, 4370, 16, 529, 4354, 3
8938, 8247, 0, 691, 8247, 4
15614, 13720, 10, 1904, 13710, 7
3596, 3041, 0, 555, 3041, 1
3829, 3266, 0, 563, 3266, 1
4743, 4161, 4, 586, 4157, 2
5865, 5269, 7, 603, 5262, 2
4705, 4084, 0, 621, 4084, 1
11929, 10432, 3.0000, 1500, 10429, 4
6549, 5834.0000, 8, 723, 5826, 1
9574, 7497, 1, 2078, 7496, 11
4135, 3790, 2, 347, 3788, 1
8449, 7811, 6.0000, 644, 7805, 1
2680, 2491, 18, 207, 2473, 1
4565, 4225, 7, 347, 4218, 1
18589, 57, 0, 18532, 57, 9
4363, 3888, 1, 476, 3887, 2
4988, 4392, 2, 598, 4390, 2
9022, 8006, 0, 1016, 8006, 4
6918, 6381.0000, 0, 537, 6381, 1
5367, 4821, 2, 548, 4819, 4
5049, 4507, 3.0000, 545, 4504, 1
3326, 2977, 3.0000, 352, 2974, 1
7204, 5, 0, 7199, 5, 3
7001, 6034, 0, 967, 6034, 1
2277, 1901, 0, 376, 1901, 1
2596, 2152, 0, 444, 2152, 1
7040, 5757.0000, 0, 1283, 5757, 3
8803, 147, 0, 8656, 147, 2
5354, 4740, 1, 615, 4739, 1
27562, 24871.0000, 2, 2693, 24869, 3
6994, 6274.0000, 14, 734, 6260, 4
6119, 5682, 2, 439, 5680, 1
675, 574, 9, 110, 565, 2
5327, 5168, 32, 191, 5136, 1
647, 502, 0, 145, 502, 1
6081, 5520, 0, 561, 5520, 1
3652, 3222.0000, 1, 431, 3221, 1
1793, 1535.0000, 0, 258, 1535, 1
6266, 47, 0, 6219, 47, 6
3398, 3013, 0, 385, 3013, 1
5352, 4475, 2, 879, 4473, 3
8819, 7927, 2, 894, 7925, 3
10696, 8681, 6.0000, 2021, 8675, 7
4904, 4526, 0, 378, 4526, 1
3735, 3330, 1, 406, 3329, 1
1875, 1763.0000, 47, 159, 1716, 1
4965, 4503, 4, 466, 4499, 1
6627, 5807, 0, 820, 5807, 2
939, 930, 54, 63, 876, 1
9430, 7989, 2, 1443, 7987, 5
5369, 4781, 1, 589, 4780, 2
6700, 5804, 0, 896, 5804, 2
4604, 4017, 0, 587, 4017, 1
9867, 9202, 1, 666, 9201, 2
6175, 5556, 16, 635, 5540, 3
6914, 6331, 0, 583, 6331, 1
5564, 5123, 2, 443, 5121, 1
12347, 11164, 0, 1183, 11164, 2
6391, 5875, 20, 536, 5855, 1
3726, 3367.0000, 1, 360, 3366, 1
8366, 7761, 5, 610, 7756, 3
5868, 5353, 3.0000, 518, 5350, 2
3440, 3170, 0, 270, 3170, 1
5612, 4945, 0, 667, 4945, 1
4069, 3865, 4, 208, 3861, 1
20429, 18654, 6.0000, 1781, 18648, 2
8911, 8138, 2, 775, 8136, 2
4474, 4214, 4, 264, 4210, 1
7465, 6746.0000, 7, 726, 6739, 2
7395, 6735, 8, 668, 6727, 2
3923, 3555, 0, 368, 3555, 1
4290, 3880, 0, 410, 3880, 1
7891, 7250, 1, 642, 7249, 1
867, 732, 0, 135, 732, 1
3417, 2977, 0, 440, 2977, 1
8026, 7095, 1, 932, 7094, 5
5118, 4599, 3.0000, 522, 4596, 1
