GT pixels, algorithm, FP, FN, TP, num_particles
11696, 11710, 154, 140, 11556, 1
5569, 5459, 47, 157, 5412, 1
3836, 3802, 39, 73, 3763, 1
5740, 5752, 84, 72, 5668, 1
5335, 5170, 22, 187, 5148, 1
5106, 4948, 31.0000, 189, 4917, 1
5401, 5320, 52, 133, 5268, 1
4694, 4766, 141, 69, 4625, 1
2296, 2118, 48.0000, 226, 2070, 1
6155, 14, 0, 6141, 14.0000, 1
1420, 2884, 1514, 50, 1370, 1
1495, 2884, 1432, 43, 1452, 1
4727, 4573, 36, 190, 4537, 1
5773, 5617, 56, 212, 5561, 1
4489, 4709, 284, 64, 4425, 1
6298, 5961, 15, 352, 5946, 1
5919, 5661, 12.0000, 270, 5649, 1
4556, 4541, 48.0000, 63, 4493, 1
9979, 9900, 73, 152, 9827, 1
758, 930, 172, 0, 758, 1
5626, 5603, 114, 137, 5489, 1
9875, 9652, 21, 244, 9631, 1
8096, 7915, 83, 264, 7832, 1
2400, 2353, 18, 65, 2335, 1
2806, 2743, 36, 99, 2707, 1
3309, 3319, 62.0000, 52, 3257, 1
6839, 6847, 116, 108, 6731, 1
1395, 1620, 237, 12, 1383, 1
4883, 4986, 228, 125, 4758, 1
8938, 8848, 60, 150, 8788, 1
15614, 15642, 298, 270, 15344, 1
3596, 3449.0000, 27, 174, 3422, 1
3829, 3652, 12.0000, 189, 3640, 1
4743, 4739, 152, 156, 4587, 1
5865, 5772, 79, 172, 5693, 1
4705, 4530, 7, 182, 4523, 1
11929, 11492, 71, 508, 11421, 1
6549, 6439, 123, 233, 6316, 1
9574, 9382, 82, 274, 9300, 1
4135, 4127, 68, 76, 4059, 1
8449, 8500, 177, 126, 8323, 1
2680, 2865, 208, 23, 2657, 2
4565, 4587, 84, 62, 4503, 1
18589, 18485, 159, 263, 18326, 1
4363, 4304, 62.0000, 121, 4242, 1
4988, 4874, 36, 150, 4838, 1
9022, 8936, 96.0000, 182, 8840, 1
6918, 6895, 64, 87, 6831, 1
5367, 5328, 84, 123, 5244, 1
5049, 4986, 79, 142, 4907, 1
3326, 3403, 159, 82, 3244, 1
7204, 6729, 8, 483, 6721, 1
7001, 6613, 17, 405, 6596, 1
2277, 2188, 26, 115, 2162, 1
2596, 2442, 13, 167, 2429, 1
7040, 6857, 48.0000, 231, 6809, 1
8803, 39, 0, 8764, 39, 1
5354, 5185, 40, 209, 5145, 1
27562, 26757, 92, 897, 26665, 1
6994, 7206.0000, 324, 112, 6882, 1
6119, 6167, 125, 77, 6042, 1
675, 820, 145, 0, 675, 1
5327, 5619, 298, 6, 5321, 1
647, 745, 107, 9, 638, 1
6081, 5938, 28, 171, 5910, 1
3652, 3599.0000, 65, 118, 3534, 1
1793, 1721.0000, 10, 82, 1711, 1
6266, 6085, 24.0000, 205, 6061, 1
3398, 3323, 30, 105, 3293, 1
5352, 5159, 65, 258, 5094, 1
8819, 8787, 162, 194, 8625, 1
10696, 10220, 227, 703, 9993, 1
4904, 4833, 35, 106, 4798, 1
3735, 3672.0000, 65, 128, 3607, 1
1875, 2149, 304, 30, 1845, 1
4965, 4875, 40, 130, 4835, 1
6627, 6477, 49.0000, 199, 6428, 1
939, 1319, 389, 9, 930, 1
9430, 9318, 148, 260, 9170, 2
5369, 5362, 105.0000, 112, 5257, 1
6700, 6369.0000, 16, 347, 6353, 1
4604, 4360, 13, 257, 4347, 1
9867, 9822, 77, 122, 9745, 1
6175, 6142.0000, 131, 164, 6011, 1
6914, 6797.0000, 51, 168, 6746, 1
5564, 5593, 98.0000, 69, 5495, 1
12347, 12341, 186, 192, 12155, 1
6391, 13500.0000, 7201, 92, 6299, 1
3726, 3729, 55.0000, 52, 3674, 1
8366, 8328, 116, 154, 8212, 1
5868, 5908, 134, 94, 5774, 1
3440, 3467, 74, 47, 3393, 1
5612, 5477, 46, 181, 5431, 1
4069, 4326, 264, 7, 4062, 1
20429, 20385, 293, 337, 20092, 1
8911, 8794, 49.0000, 166, 8745, 1
4474, 4523, 100, 51, 4423, 1
7465, 7417.0000, 141, 189, 7276, 1
7395, 7311, 90, 174, 7221, 1
3923, 3877, 36, 82, 3841, 1
4290, 4148, 13, 155, 4135, 1
7891, 7704, 31.0000, 218, 7673, 1
867, 949, 86, 4, 863, 1
3417, 3307, 40, 150, 3267, 1
8026, 7935, 115.0000, 206, 7820, 2
5118, 5128, 96.0000, 86, 5032, 1
