GT pixels, algorithm, FP, FN, TP, num_particles
11696, 13563.0000, 1867, 0, 11696, 1
5569, 6590.0000, 1022, 1, 5568, 1
3836, 1, 1, 3836, 0, 1
5740, 7142, 1402, 0, 5740, 1
5335, 5784, 450.0000, 1, 5334, 1
5106, 5624, 521, 3, 5103, 1
5401, 6222, 821.0000, 0, 5401, 1
4694, 6215.0000, 1523, 2, 4692, 1
2296, 2999.0000, 723, 20, 2276, 1
6155, 7328.0000, 1181, 8, 6147, 1
1420, 4558, 3138.0000, 0, 1420, 1
1495, 4558, 3063.0000, 0, 1495, 1
4727, 5554, 827, 0, 4727, 1
5773, 6361.0000, 606, 18, 5755, 1
4489, 5976.0000, 1487, 0, 4489, 1
6298, 7112, 815, 1, 6297, 1
5919, 6627, 708, 0, 5919, 1
4556, 5477, 921, 0, 4556, 1
9979, 11103, 1124, 0, 9979, 1
758, 1773, 1015.0000, 0, 758, 1
5626, 6700, 1074, 0, 5626, 1
9875, 10629, 754, 0, 9875, 1
8096, 9175, 1081, 2, 8094, 1
2400, 2798, 398, 0, 2400, 1
2806, 3385, 579, 0, 2806, 1
3309, 4035, 727.0000, 1, 3308, 1
6839, 8153, 1314, 0, 6839, 1
1395, 2981.0000, 1586, 0, 1395, 1
4883, 6696, 1820, 7, 4876, 1
8938, 9986, 1048, 0, 8938, 1
15614, 18373, 2762, 3, 15611, 1
3596, 4348, 753, 1, 3595, 1
3829, 1, 1, 3829, 0, 1
4743, 9753, 5010, 0, 4743, 1
5865, 6907, 1042, 0, 5865, 1
4705, 23443.0000, 18738, 0, 4705, 1
11929, 1, 1, 11929, 0, 1
6549, 8233, 1685.0000, 1, 6548, 1
9574, 10436, 871, 9, 9565, 1
4135, 5123, 988, 0, 4135, 1
8449, 10536, 2087, 0, 8449, 1
2680, 4783, 2103, 0, 2680, 1
4565, 6017, 1452, 0, 4565, 1
18589, 21068, 2479, 0, 18589, 1
4363, 11176, 6813.0000, 0, 4363, 1
4988, 11176, 6188, 0, 4988, 1
9022, 10182, 1164, 4, 9018, 1
6918, 8161.0000, 1243, 0, 6918, 1
5367, 13900, 8533, 0, 5367, 1
5049, 13900, 8851, 0, 5049, 1
3326, 4924, 1598, 0, 3326, 1
7204, 8032, 848, 20, 7184, 1
7001, 8267, 1268, 2, 6999, 1
2277, 6487, 4210, 0, 2277, 1
2596, 6453, 3860, 3, 2593, 1
7040, 7957, 917.0000, 0, 7040, 1
8803, 10396, 1595, 2, 8801, 1
5354, 6784, 1430, 0, 5354, 1
27562, 32028.0000, 4466, 0, 27562, 1
6994, 9059, 2065, 0, 6994, 1
6119, 7345, 1226, 0, 6119, 1
675, 1481, 806.0000, 0, 675, 1
5327, 7791, 2464, 0, 5327, 1
647, 1172, 525, 0, 647, 1
6081, 6949.0000, 868, 0, 6081, 1
3652, 4770, 1118, 0, 3652, 1
1793, 2340, 547, 0, 1793, 1
6266, 7102, 836, 0, 6266, 1
3398, 4313, 915, 0, 3398, 1
5352, 6658, 1310, 4, 5348, 1
8819, 11198, 2379, 0, 8819, 1
10696, 14143.0000, 3454.0000, 7, 10689, 1
4904, 5473, 570, 1, 4903, 1
3735, 4736, 1001, 0, 3735, 1
1875, 3088, 1213, 0, 1875, 1
4965, 5661, 702, 6, 4959, 1
6627, 7620, 1000, 7, 6620, 1
939, 2732, 1793.0000, 0, 939, 1
9430, 11885.0000, 2456, 1, 9429, 1
5369, 7298, 1929, 0, 5369, 1
6700, 8444, 1744, 0, 6700, 1
4604, 5752, 1148, 0, 4604, 1
9867, 11209, 1342, 0, 9867, 1
6175, 8025.0000, 1853, 3, 6172, 1
6914, 7893.0000, 980, 1, 6913, 1
5564, 7525, 1961, 0, 5564, 1
12347, 14573.0000, 2226, 0, 12347, 1
6391, 18759, 12368, 0, 6391, 1
3726, 4411, 685, 0, 3726, 1
8366, 9753, 1387, 0, 8366, 1
5868, 7296, 1428, 0, 5868, 1
3440, 4425, 985, 0, 3440, 1
5612, 6824, 1212, 0, 5612, 1
4069, 5891.0000, 1822, 0, 4069, 1
20429, 25279, 4851, 1, 20428, 1
8911, 10143, 1232, 0, 8911, 1
4474, 5636, 1162, 0, 4474, 1
7465, 9065, 1603, 3, 7462, 1
7395, 8675, 1280, 0, 7395, 1
3923, 4866, 943, 0, 3923, 1
4290, 4986, 697, 1, 4289, 1
7891, 8656, 767.0000, 2, 7889, 1
867, 1671, 804.0000, 0, 867, 1
3417, 4054.0000, 641, 4, 3413, 1
8026, 9834, 1813, 5, 8021, 1
5118, 6489, 1372, 1, 5117, 1
