GT pixels, algorithm, FP, FN, TP, num_particles
11696, 11262, 25, 459, 11237, 1
5569, 5120, 2, 451, 5118, 2
3836, 3613, 3.0000, 226, 3610, 1
5740, 5452, 5, 293, 5447, 1
5335, 4909, 0, 426, 4909, 1
5106, 4686, 1, 421, 4685, 1
5401, 5076, 3.0000, 328, 5073, 1
4694, 4439, 9, 264, 4430, 2
2296, 1825, 0, 471.0000, 1825.0000, 1
6155, 90, 0, 6065, 90, 2
1420, 1224, 0, 196, 1224, 1
1495, 1329, 0, 166, 1329, 1
4727, 4315, 3.0000, 415, 4312, 1
5773, 5288, 12.0000, 497, 5276, 1
4489, 4312, 68, 245, 4244, 1
6298, 5569, 1, 730, 5568, 2
5919, 5380, 0, 539, 5380, 1
4556, 4340, 1, 217, 4339, 1
9979, 9570, 8, 417, 9562, 1
758, 759, 22, 21, 737, 1
5626, 5308, 15, 333, 5293, 1
9875, 9318, 1, 558, 9317, 1
8096, 7443, 9, 662, 7434, 1
2400, 2196, 0, 204, 2196, 1
2806, 2541, 2, 267, 2539, 1
3309, 3147.0000, 12.0000, 174, 3135, 1
6839, 6521.0000, 16, 334, 6505, 1
1395, 1342, 28, 81, 1314, 1
4883, 4576, 49.0000, 356, 4527, 2
8938, 8539, 2, 401, 8537, 1
15614, 14774, 42, 882, 14732, 1
3596, 3220.0000, 1, 377, 3219, 1
3829, 3422, 0, 407, 3422, 1
4743, 4359, 24.0000, 408, 4335, 2
5865, 5456, 17, 426, 5439, 1
4705, 4311, 1, 395, 4310, 1
11929, 10804, 8, 1133, 10796, 2
6549, 6033, 21, 537, 6012, 1
9574, 8521, 7, 1060, 8514, 4
4135, 3914, 7, 228, 3907, 1
8449, 8043.0000, 14, 420, 8029, 1
2680, 2589, 34, 125, 2555, 1
4565, 4373, 16, 208, 4357, 1
18589, 17770, 12.0000, 831, 17758, 5
4363, 4070, 3.0000, 296, 4067, 1
4988, 4646, 11, 353, 4635, 1
9022, 8501, 8, 529, 8493, 1
6918, 6596.0000, 2, 324, 6594, 1
5367, 5007, 6.0000, 366, 5001, 2
5049, 4690, 8, 367, 4682, 1
3326, 3107, 21, 240, 3086, 1
7204, 6360, 0, 844, 6360, 2
7001, 6249, 1, 753, 6248, 1
2277, 2011, 4, 270, 2007, 1
2596, 2277, 0, 319, 2277, 1
7040, 6285, 1, 756, 6284, 2
8803, 89, 0, 8714, 89, 1
5354, 4915, 2, 441, 4913, 1
27562, 25728.0000, 6.0000, 1840, 25722, 1
6994, 6618, 46, 422, 6572, 1
6119, 5884, 19, 254, 5865, 1
675, 659, 31.0000, 47, 628, 1
5327, 5300, 72, 99, 5228, 1
647, 577, 4, 74, 573, 1
6081, 5684, 2, 399, 5682, 1
3652, 3350, 10, 312, 3340, 1
1793, 1600, 0, 193, 1600, 1
6266, 5765.0000, 0, 501, 5765, 1
3398, 3125, 1, 274, 3124, 1
5352, 4769, 8, 591, 4761, 2
8819, 8269, 24.0000, 574, 8245, 1
10696, 9299, 30, 1427, 9269, 4
4904, 4638, 6.0000, 272, 4632, 1
3735, 3452.0000, 9, 292, 3443, 1
1875, 1892, 113, 96, 1779, 1
4965, 4661, 8, 312, 4653, 1
6627, 6077.0000, 7, 557, 6070, 1
939, 1046, 138, 31, 908, 1
9430, 8647, 13, 796, 8634, 2
5369, 4993, 5, 381, 4988, 1
6700, 6022, 0, 678, 6022, 1
4604, 4140, 0, 464, 4140, 1
9867, 9485, 7, 389, 9478, 1
6175, 5791, 38, 422, 5753, 2
6914, 6535, 4, 383, 6531, 1
5564, 5310, 10, 264, 5300, 1
12347, 11700.0000, 20, 667, 11680, 1
6391, 6107, 57, 341, 6050, 1
3726, 3528.0000, 6.0000, 204, 3522, 1
8366, 7972, 11, 405, 7961, 2
5868, 5543, 12.0000, 337, 5531, 2
3440, 3278, 4, 166, 3274, 1
5612, 5168, 4, 448, 5164, 1
4069, 3996, 32, 105, 3964, 1
20429, 19312, 27, 1144, 19285, 1
8911, 8442, 6.0000, 475, 8436, 1
4474, 4317, 11, 168, 4306, 1
7465, 6982, 23, 506, 6959, 2
7395, 6955.0000, 24.0000, 464, 6931, 2
3923, 3678.0000, 0, 245, 3678, 1
4290, 3971.0000, 1, 320, 3970, 1
7891, 7431.0000, 1, 461, 7430, 1
867, 790, 2, 79, 788, 1
3417, 3094, 5, 328, 3089, 1
8026, 7477, 6.0000, 555, 7471, 2
5118, 4806, 8, 320, 4798, 1
