GT pixels, algorithm, FP, FN, TP, num_particles
11696, 12579, 896, 13, 11683, 1
5569, 6036, 477.0000, 10, 5559, 1
3836, 4191, 355, 0, 3836, 1
5740, 6389, 651, 2, 5738, 1
5335, 5509, 185, 11, 5324, 1
5106, 5342, 257, 21, 5085, 1
5401, 5719, 324, 6, 5395, 1
4694, 5504, 815, 5, 4689, 1
2296, 2660, 409, 45, 2251, 1
6155, 6589, 481, 47, 6108, 1
1420, 3722, 2303, 1, 1419, 1
1495, 3722, 2227, 0, 1495, 1
4727, 5105, 388, 10, 4717, 1
5773, 6039.0000, 318, 52, 5721, 1
4489, 5418, 931, 2, 4487, 1
6298, 6610, 346, 34, 6264, 1
5919, 6182, 286, 23, 5896, 1
4556, 5018, 462, 0, 4556, 1
9979, 10503, 525, 1, 9978, 1
758, 1344, 586, 0, 758, 1
5626, 6188, 565, 3, 5623, 1
9875, 10151, 294, 18, 9857, 1
8096, 8599, 535, 32, 8064, 1
2400, 2594, 195, 1, 2399, 1
2806, 3090, 290, 6, 2800, 1
3309, 3675.0000, 370, 4, 3305, 1
6839, 7457, 622, 4, 6835, 1
1395, 2207, 812, 0, 1395, 1
4883, 5914, 1045, 14, 4869, 1
8938, 9415, 483, 6, 8932, 1
15614, 17135, 1544, 23, 15591, 1
3596, 3856, 281, 21, 3575, 1
3829, 4125, 302, 6, 3823, 1
4743, 1, 1, 4743, 0, 1
5865, 6333, 479.0000, 11, 5854, 1
4705, 5010, 308, 3, 4702, 1
11929, 13597, 1683.0000, 15, 11914, 1
6549, 7387, 847, 9, 6540, 1
9574, 10040, 515, 49, 9525, 1
4135, 4600, 466, 1, 4134, 1
8449, 9415, 966, 0, 8449, 1
2680, 3658, 978, 0, 2680, 1
4565, 5134, 569, 0, 4565, 1
18589, 19834, 1254, 9, 18580, 1
4363, 4760, 404, 7, 4356, 1
4988, 5411, 429, 6, 4982, 1
9022, 9605, 600, 17, 9005, 1
6918, 7434, 517, 1, 6917, 1
5367, 6129, 763, 1, 5366, 1
5049, 5794, 747.0000, 2, 5047, 1
3326, 4172, 847, 1, 3325, 1
7204, 7427.0000, 282, 59, 7145, 1
7001, 7450, 478.0000, 29, 6972, 1
2277, 5516, 3246, 7, 2270, 1
2596, 5516, 2934, 14, 2582, 1
7040, 7447, 419, 12, 7028, 1
8803, 9337, 567, 33, 8770, 1
5354, 5912, 567, 9, 5345, 1
27562, 29179, 1664, 47, 27515, 1
6994, 8300, 1307, 1, 6993, 1
6119, 6803.0000, 685, 1, 6118, 1
675, 1151, 476, 0, 675, 1
5327, 6665.0000, 1338, 0, 5327, 1
647, 1050, 403.0000, 0, 647, 1
6081, 6395, 323, 9, 6072, 1
3652, 4146, 500, 6, 3646, 1
1793, 2003, 212, 2, 1791, 1
6266, 6529.0000, 281, 18, 6248, 1
3398, 3723, 331, 6, 3392, 1
5352, 5786, 460.0000, 26, 5326, 1
8819, 9887, 1072, 4, 8815, 1
10696, 12151, 1538.0000, 83, 10613, 1
4904, 5176, 285, 13, 4891, 1
3735, 4262, 532, 5, 3730, 1
1875, 2691, 819, 3, 1872, 1
4965, 5265, 321, 21, 4944, 1
6627, 7078, 472, 21, 6606, 1
939, 1963, 1024, 0, 939, 1
9430, 10561, 1149, 18, 9412, 1
5369, 6298.0000, 931, 2, 5367, 1
6700, 7232, 551, 19, 6681, 1
4604, 4951, 357, 10, 4594, 1
9867, 10406, 540, 1, 9866, 1
6175, 6954, 796, 17, 6158, 1
6914, 7309, 413.0000, 18, 6896, 1
5564, 6390, 826.0000, 0, 5564, 1
12347, 13513, 1176, 10, 12337, 1
6391, 15741, 9351, 1, 6390, 1
3726, 4051.0000, 329, 4, 3722, 1
8366, 8988, 636, 14, 8352, 1
5868, 6556, 691, 3, 5865, 1
3440, 3902.0000, 462, 0, 3440, 1
5612, 6087, 488.0000, 13, 5599, 1
4069, 5133, 1064, 0, 4069, 1
20429, 22739, 2316, 6, 20423, 1
8911, 9458, 555, 8, 8903, 1
4474, 5060, 586, 0, 4474, 1
7465, 8359, 901.0000, 7, 7458, 1
7395, 8034, 646, 7, 7388, 1
3923, 4365, 444, 2, 3921, 1
4290, 4561, 283, 12, 4278, 1
7891, 8184, 311, 18, 7873, 1
867, 1338, 471, 0, 867, 1
3417, 3690, 297, 24, 3393, 1
8026, 8856, 842.0000, 12, 8014, 1
5118, 5733, 625, 10, 5108, 1
