GT pixels, algorithm, FP, FN, TP, num_particles
11696, 12293, 623, 26, 11670, 1
5569, 5865, 319, 23, 5546, 1
3836, 4057.0000, 225.0000, 4, 3832, 1
5740, 6186, 449.0000, 3, 5737, 1
5335, 5412, 112, 35, 5300, 1
5106, 5218, 161, 49, 5057, 1
5401, 5609, 232, 24, 5377, 1
4694, 5276, 598, 16, 4678, 1
2296, 2504, 280, 72, 2224, 1
6155, 6352, 284, 87, 6068, 1
1420, 3492, 2077, 5, 1415, 1
1495, 3492, 1998, 1, 1494, 1
4727, 4947, 251, 31, 4696, 1
5773, 5927.0000, 226, 72, 5701, 1
4489, 5211, 726, 4, 4485, 1
6298, 6416.0000, 197.0000, 79, 6219, 1
5919, 6027, 165, 57, 5862, 1
4556, 4868, 312, 0, 4556, 1
9979, 10314, 344, 9, 9970, 1
758, 1220, 462, 0, 758, 1
5626, 6007, 397, 16, 5610, 1
9875, 10002, 175, 48, 9827, 1
8096, 8377, 351, 70, 8026, 1
2400, 2515, 127, 12, 2388, 1
2806, 2995.0000, 204, 15, 2791, 1
3309, 3550, 250, 9, 3300, 1
6839, 7252, 423, 10, 6829, 1
1395, 1988.0000, 593, 0, 1395, 1
4883, 5597, 738, 24, 4859, 1
8938, 9236, 320, 22, 8916, 1
15614, 16760, 1198, 52, 15562, 1
3596, 3724, 170, 42, 3554, 1
3829, 3967.0000, 160, 22, 3807, 1
4743, 5371, 653, 25, 4718, 1
5865, 6162, 335, 38, 5827, 1
4705, 4834, 145, 16, 4689, 1
11929, 12862, 989, 56, 11873, 1
6549, 7128, 608, 29, 6520, 1
9574, 9870, 375.0000, 79, 9495, 1
4135, 4446, 316, 5, 4130, 1
8449, 9070, 628, 7, 8442, 1
2680, 3382, 707, 5, 2675, 1
4565, 4937, 373.0000, 1, 4564, 1
18589, 19425, 866, 30, 18559, 1
4363, 4620, 276, 19, 4344, 1
4988, 5241, 268, 15, 4973, 1
9022, 9406, 419, 35, 8987, 1
6918, 7266, 356, 8, 6910, 1
5367, 5840.0000, 478.0000, 5, 5362, 1
5049, 5493, 458.0000, 14, 5035, 1
3326, 3915, 591, 2, 3324, 1
7204, 7188.0000, 122.0000, 138, 7066, 1
7001, 7180.0000, 255, 76, 6925, 1
2277, 2474, 215.0000, 18, 2259, 1
2596, 2719, 154, 31, 2565, 1
7040, 7274, 272, 38, 7002, 1
8803, 9036, 316, 83, 8720, 1
5354, 5662, 340, 32, 5322, 1
27562, 28350.0000, 915, 127, 27435, 1
6994, 8043.0000, 1056, 7, 6987, 1
6119, 6596.0000, 484, 7, 6112, 1
675, 1047, 372, 0, 675, 1
5327, 6290.0000, 963, 0, 5327, 1
647, 981, 334, 0, 647, 1
6081, 6243, 194, 32, 6049, 1
3652, 3962, 323, 13, 3639, 1
1793, 1904, 122.0000, 11, 1782, 1
6266, 6385, 176, 57, 6209, 1
3398, 3580, 201.0000, 19, 3379, 1
5352, 5587, 287, 52, 5300, 1
8819, 9558, 752, 13, 8806, 1
10696, 11541, 1006, 161, 10535, 1
4904, 5075, 196.0000, 25, 4879, 1
3735, 4092, 373.0000, 16, 3719, 1
1875, 2512, 645, 8, 1867, 1
4965, 5153, 220.0000, 32, 4933, 1
6627, 6898.0000, 305, 34, 6593, 1
939, 1741, 803.0000, 1, 938, 1
9430, 10183, 791, 38, 9392, 1
5369, 5994.0000, 636, 11, 5358, 1
6700, 6947.0000, 305, 58, 6642, 1
4604, 4744, 180, 40, 4564, 1
9867, 10211, 352, 8, 9859, 1
6175, 6701, 561, 35, 6140, 1
6914, 7136, 260, 38, 6876, 1
5564, 6094, 537, 7, 5557, 1
12347, 13146, 824.0000, 25, 12322, 1
6391, 15003, 8615, 3, 6388, 1
3726, 3959, 238, 5, 3721, 1
8366, 8777, 440.0000, 29, 8337, 1
5868, 6350, 495, 13, 5855, 1
3440, 3743.0000, 306, 3, 3437, 1
5612, 5888, 308, 32, 5580, 1
4069, 4860, 791, 0, 4069, 1
20429, 21925, 1515, 19, 20410, 1
8911, 9229, 338, 20, 8891, 1
4474, 4887, 413.0000, 0, 4474, 1
7465, 8031.0000, 590, 24, 7441, 1
7395, 7804.0000, 435, 26, 7369, 1
3923, 4208, 289, 4, 3919, 1
4290, 4428, 159, 21, 4269, 1
7891, 8031.0000, 187.0000, 47, 7844, 1
867, 1217, 350, 0, 867, 1
3417, 3563, 191.0000, 45, 3372, 1
8026, 8564, 568, 30, 7996, 1
5118, 5520, 420.0000, 18, 5100, 1
